|Unnamed: 0|seller_nickname|products|stock|price|seller_reputation|Lt|condition|isrefu|category_id|regular_price1|pxp|mix|tokens|totalcat|embedding|cluster
11|11|0016716fd6|8|41|19192.0|green_silver|DropShipping|new|not refubirshed|FOOTWEAR|no|468.1|reputation: green_silver; products: 8; stock: 41; priceproduct: 468.1; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:3|56|1|"[ 0.01468379 -0.00584155  0.00310241 ... -0.0064337   0.01527231
  0.02743493]"|3
12|12|001906a3fe|2|2|949.0|green|Cross Docking|used|not refubirshed|BOOKS, MULTIMEDIA & OTHER E!|no|474.5|reputation: green; products: 2; stock: 2; priceproduct: 474.5; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used; totalCategories: 2; regularprice: no; Cluster:1|55|2|"[-0.01019158  0.00420669  0.01719416 ... -0.01107334  0.01447543
  0.02082404]"|1
13|13|001988927a|2|173|2148.0|green_platinum|DropShipping|new|not refubirshed|APPAREL|no|12.42|reputation: green_platinum; products: 2; stock: 173; priceproduct: 12.42; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:0|56|1|"[ 0.02513594 -0.01121878  0.00810246 ... -0.00717855  0.0202818
  0.02925683]"|0
14|14|0020510765|1|16|112.5|green_silver|FulfilledbyMerchant|new|not refubirshed|FRAGRANCES & MAKE UP|yes|7.03|reputation: green_silver; products: 1; stock: 16; priceproduct: 7.03; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes; Cluster:3|58|1|"[-0.0038958  -0.01249793  0.00487068 ... -0.00841911  0.01987119
  0.01518727]"|3
15|15|0021be2b0e|1|1774|235.0|green_silver|Cross Docking|new|not refubirshed|TEXTILES|no|0.13|reputation: green_silver; products: 1; stock: 1774; priceproduct: 0.13; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|58|1|"[ 0.00146329 -0.0112341   0.01690827 ... -0.01079235  0.013519
  0.02653533]"|1
16|16|00220f246f|4|157|1284.42|green_gold|Cross Docking|new|not refubirshed|MUSICAL INSTRUMENTS,SPORTS,HEALTH|yes|8.18|reputation: green_gold; products: 4; stock: 157; priceproduct: 8.18; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 3; regularprice: yes; Cluster:1|56|3|"[-0.01962911  0.00542746  0.02839566 ... -0.00792508  0.03420943
  0.01959851]"|1
17|17|0028bf6d73|1|1|19990.0|newbie|Cross Docking|used|not refubirshed|APPAREL ACCESSORIES|no|19990.0|reputation: newbie; products: 1; stock: 1; priceproduct: 19990.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used; totalCategories: 1; regularprice: no; Cluster:2|56|1|"[-0.01841504  0.00567735 -0.00247895 ...  0.00647136  0.01637224
  0.00522257]"|2
18|18|0029260890|1|1|426.0|green|Cross Docking|new|not refubirshed|APPAREL|no|426.0|reputation: green; products: 1; stock: 1; priceproduct: 426.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.00197693 -0.00199925  0.01749669 ... -0.0105858   0.02356698
  0.0178984 ]"|1
19|19|002b9cfe2a|1|27|229.71|green_gold|FulfilledbyMerchant|new|not refubirshed|CAMERAS & DRONES|yes|8.51|reputation: green_gold; products: 1; stock: 27; priceproduct: 8.51; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes; Cluster:3|57|1|"[-0.01564156 -0.00605504  0.01245111 ... -0.01147351  0.03179844
  0.0054412 ]"|3
20|20|002d85b30e|7|189|19522.83|green|FulfilledbyMerchant,Cross Docking|new|not refubirshed,is refubirshed|IT PERIPHERALS, PARTS & ACCESSORIES,SMARTPHONES & TABLETS,WEARABLES,AUDIO & GENERAL ELECTRONICS|no|103.3|reputation: green; products: 7; stock: 189; priceproduct: 103.3; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed,is refubirshed; conditionproduct: new; totalCategories: 5; regularprice: no; Cluster:3|65|5|"[-0.01620851  0.01885088  0.01391304 ... -0.01057686  0.02578895
  0.0191904 ]"|3
21|21|002ed196eb|17|450|30755.83|green_platinum|Cross Docking|new|not refubirshed|HOUSEHOLD APPLIANCES|yes,no|68.35|reputation: green_platinum; products: 17; stock: 450; priceproduct: 68.35; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes,no; Cluster:0|58|1|"[ 0.00270723 -0.01045709  0.01228594 ... -0.0084537   0.02259885
  0.0162396 ]"|0
22|22|0032d0112b|1|37|725.0|green|DropShipping|used|not refubirshed|HEALTH|no|19.59|reputation: green; products: 1; stock: 37; priceproduct: 19.59; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: used; totalCategories: 1; regularprice: no; Cluster:3|54|1|"[ 0.00544386  0.0044344   0.00779446 ... -0.01359163  0.01714637
  0.01273359]"|3
23|23|003426c781|1|20|1161.61|newbie|DropShipping|new|not refubirshed|FRAGRANCES & MAKE UP|no|58.08|reputation: newbie; products: 1; stock: 20; priceproduct: 58.08; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:2|54|1|"[-0.00429572 -0.00639252 -0.02535129 ... -0.00236848  0.02028979
  0.00967813]"|2
24|24|00368f60af|1|1|15000.0|newbie|Cross Docking|used|not refubirshed|ANTIQUES & HOBBIES|no|15000.0|reputation: newbie; products: 1; stock: 1; priceproduct: 15000.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used; totalCategories: 1; regularprice: no; Cluster:2|56|1|"[-0.00928865  0.00164211  0.00564412 ...  0.00760598  0.01964878
  0.01035258]"|2
25|25|00374db3c1|1|18|149.0|yellow|Cross Docking|new|not refubirshed|APPAREL ACCESSORIES|no|8.28|reputation: yellow; products: 1; stock: 18; priceproduct: 8.28; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.02401491  0.0056791   0.00735074 ... -0.00443656  0.0350746
  0.01785073]"|1
26|26|003a562a8e|2|200|1592.8200000000002|green|Cross Docking|new|not refubirshed|SPORTS|no|7.96|reputation: green; products: 2; stock: 200; priceproduct: 7.96; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.0070898   0.00349642  0.02653919 ... -0.00965197  0.02285444
  0.01921443]"|1
27|27|003b36eb22|9|1408|1341.27|green_platinum|FulfilledbyMerchant,Cross Docking|new|not refubirshed|TEXTILES,APPAREL,CAMERAS & DRONES,SPORTS,AUDIO & GENERAL ELECTRONICS,HOUSEHOLD ITEMS,ACC MOTORCYCLES|yes,no|0.95|reputation: green_platinum; products: 9; stock: 1408; priceproduct: 0.95; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 7; regularprice: yes,no; Cluster:0|64|7|"[ 0.00960698 -0.01396754  0.01648001 ... -0.00849202  0.02385707
  0.01880157]"|0
28|28|003dfc2043|1|4|720.0|green_silver|Cross Docking|new|not refubirshed|HEALTH|yes|180.0|reputation: green_silver; products: 1; stock: 4; priceproduct: 180.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes; Cluster:1|57|1|"[-0.01400187 -0.0049033   0.01697793 ... -0.01107882  0.01818956
  0.02126406]"|1
29|29|004017d0fa|1|10|21000.0|newbie|DropShipping|new|not refubirshed|TEXTILES|no|2100.0|reputation: newbie; products: 1; stock: 10; priceproduct: 2100.0; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:2|55|1|"[ 0.00121916 -0.0063594  -0.01897936 ...  0.00416272  0.02252335
  0.00103244]"|2
30|30|0040e83ed1|1|1|398.0|green|Cross Docking|new|not refubirshed|FOOTWEAR|no|398.0|reputation: green; products: 1; stock: 1; priceproduct: 398.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.00416083  0.00309176  0.01600263 ... -0.00949132  0.02105374
  0.02087494]"|1
31|31|004149c724|6|59|4712.92|green_gold|Cross Docking|new|not refubirshed|OTHER|yes,no|79.88|reputation: green_gold; products: 6; stock: 59; priceproduct: 79.88; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes,no; Cluster:1|57|1|"[-0.0122376   0.00153256  0.02914149 ... -0.00539827  0.03678141
  0.01285519]"|1
32|32|0042562fea|1|3|1200.0|green|Cross Docking|used|not refubirshed|BOOKS, MULTIMEDIA & OTHER E!|no|400.0|reputation: green; products: 1; stock: 3; priceproduct: 400.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used; totalCategories: 2; regularprice: no; Cluster:1|55|2|"[-0.01288132 -0.00240869  0.02231362 ... -0.00572086  0.0255377
  0.01997429]"|1
