,seller_nickname,stock,price,regular_price,Products,total_amount,regular_total_amount,Kmeans,AgC
89,01b5527369,299,645.9,986.0,4,193124.1,636857.4,0.0,3.0
90,01b8bd07c1,662,263.01,276.85,1,174112.62,72814.31850000001,0.0,3.0
91,01bc636106,7,545.3,574.0,1,3817.0999999999995,313002.19999999995,0.0,3.0
92,01c8c26212,28,282.09,486.36,1,7898.5199999999995,137197.2924,0.0,3.0
93,01cd4c033b,5,1652.05,1739.0,1,8260.25,2872914.9499999997,0.0,3.0
94,01ce7ad240,84,3648.98,3874.9299999999994,8,306514.32,14139542.071399998,3.0,1.0
95,01cf794634,709,3219.6,5366.0,4,2282696.4,17276373.599999998,3.0,1.0
96,01d39e03db,13,363.54,438.0,1,4726.02,159230.52000000002,0.0,3.0
97,01d788baa6,51,391.14,521.52,1,19948.14,203987.33279999997,0.0,3.0
98,01dbe5cee2,296,1811.66,2137.0,3,536251.36,3871517.4200000004,0.0,3.0
99,01e06471e5,2,411.3,478.0,2,822.6,196601.4,0.0,3.0
100,01e8b6f6bf,15,130.94,299.11,1,1964.1,39165.4634,0.0,3.0
101,01e970c464,6,834.75,947.0,2,5008.5,790508.25,0.0,3.0
102,01e97da649,94,168.21,189.0,1,15811.740000000002,31791.690000000002,0.0,3.0
103,01e9b309b6,81,336.33,560.81,1,27242.73,188617.22729999997,0.0,3.0
104,01eeb63d5c,68,5707.71,7497.0,3,388124.28,42790701.87,3.0,1.0
105,01eed0bfff,358,5665.33,7628.0,5,2028188.14,43215137.24,3.0,1.0
106,01f6b062cf,81,935.3,1496.48,2,75759.3,1399657.744,0.0,3.0
107,01f8bef6eb,49,529.0,680.0,2,25921.0,359720.0,0.0,3.0
108,01fa80f3af,10,1205.97,1799.97,3,12059.7,2170709.8209,0.0,3.0
109,01ff89fac6,42,5597.83,8107.0,4,235108.86,45381607.81,3.0,1.0
110,020ee4305e,140,308.5,387.0,2,43190.0,119389.5,0.0,3.0
111,02116f7eb0,359,1880.37,2882.0,6,675052.83,5419226.34,0.0,1.0
112,0212f5b895,276,5035.74,5635.7300000000005,18,1389864.24,28380070.9902,3.0,1.0
113,0215433eea,10,17100.0,19000.0,1,171000.0,324900000.0,1.0,0.0
114,021ee39b5b,6,2993.92,3312.0,4,17963.52,9915863.040000001,0.0,1.0
115,021ffc6f09,32,729.53,935.3,1,23344.96,682329.409,0.0,3.0
116,02222b8a8e,697,3818.42,5246.9,28,2661438.74,20034867.898,3.0,1.0
117,02236d483a,5,153.3,219.0,1,766.5,33572.700000000004,0.0,3.0
118,0223e08171,4,456.0,480.0,1,1824.0,218880.0,0.0,3.0
119,0228976d80,2800,2466.5699999999997,2674.58,4,6906395.999999999,6597038.790599999,0.0,1.0
120,022f11227a,4,719.2,899.0,1,2876.8,646560.8,0.0,3.0
121,0230ad8450,130,841.64,1588.0,1,109413.2,1336524.32,0.0,3.0
122,0237192a93,83,2034.38,2339.8,4,168853.54,4760042.324000001,0.0,3.0
123,0237a83a59,2,16981.25,17875.0,1,33962.5,303539843.75,1.0,0.0
124,023d612567,1,750.5,790.0,1,750.5,592895.0,0.0,3.0
125,0240810279,164,239.81,436.22,1,39328.840000000004,104609.91820000001,0.0,3.0
126,0242efca08,4,2194.16,2398.0,2,8776.64,5261595.68,0.0,3.0
127,02463abc22,1499,295.55,311.27,1,443029.45,91995.8485,0.0,3.0
128,024a764a96,99,20226.2,21985.0,8,2002393.8,444673007.0,1.0,0.0
129,024b183647,0,104.94,174.9,1,0.0,18354.006,0.0,3.0
130,024cb8374c,30,295.45,311.0,1,8863.5,91884.95,0.0,3.0
131,024fdf4ae3,10,145.91,280.59,1,1459.1,40940.8869,0.0,3.0
132,02600df2bc,39,371.53000000000003,638.44,3,14489.670000000002,237199.61320000005,0.0,3.0
133,0268ab5a5e,137,3090.2200000000003,3297.0,3,423360.14,10188455.340000002,0.0,3.0
134,026924d3c5,10,1508.45,1898.0,2,15084.5,2863038.1,0.0,3.0
135,026966a174,40,168.99,259.99,1,6759.6,43935.710100000004,0.0,3.0
136,026978ae7b,702,3571.8,4173.0,2,2507403.6,14905121.4,0.0,1.0
137,0272727134,150,500.73,784.0,4,75109.5,392572.32,0.0,3.0
138,02755eb1f0,22,390.6,420.0,1,8593.2,164052.0,0.0,3.0
139,028024eb35,11,409.65999999999997,1178.48,2,4506.259999999999,482776.11679999996,0.0,3.0
140,028064d12b,5,645.99,679.99,1,3229.95,439266.7401,0.0,3.0
141,02831bb535,11,605.15,637.0,1,6656.65,385480.55,0.0,3.0
142,0285d6cc62,95,4666.96,6693.0,2,443361.2,31235963.28,3.0,1.0
143,0295507165,11,760.0,800.0,1,8360.0,608000.0,0.0,3.0
144,029cdaa0b2,264,542.47,935.3,1,143212.08000000002,507372.191,0.0,3.0
145,029efe1228,1827,517.59,897.9000000000001,3,945636.93,464744.0610000001,0.0,3.0
146,02a1ee9616,15,528.8199999999999,617.3,2,7932.299999999999,326440.58599999995,0.0,3.0
147,02a684e22b,360,7846.01,9449.0,11,2824563.6,74136948.49,3.0,0.0
148,02aed7c6c9,2,629.2,715.0,1,1258.4,449878.00000000006,0.0,3.0
149,02b0c056f8,90,599.2,749.0,1,53928.00000000001,448800.80000000005,0.0,3.0
150,02b15f5fd9,3,560.5,590.0,1,1681.5,330695.0,0.0,3.0
151,02b2aeb7c6,6,299.25,315.0,1,1795.5,94263.75,0.0,3.0
152,02b55e0bbd,296,339.15999999999997,796.89,3,100391.35999999999,270273.21239999996,0.0,3.0
153,02bc39a24e,33,471.48,521.0,5,15558.84,245641.08000000002,0.0,3.0
154,02bdf306e9,2,4412.59,4849.0,1,8825.18,21396648.91,0.0,1.0
155,02bf3caa84,499,286.2,301.35,1,142813.8,86246.37000000001,0.0,3.0
156,02c401db41,9,89.55,199.0,1,805.9499999999999,17820.45,0.0,3.0
157,02c539834b,57,215.12,935.3,1,12261.84,201201.736,0.0,3.0
158,02cfca7cd8,1,3999.2,4999.0,1,3999.2,19992000.8,0.0,1.0
159,02d4777989,1670,558.95,588.38,5,933446.5000000001,328875.00100000005,0.0,3.0
160,02d74fcbf9,9,8829.3,9294.0,6,79463.7,82059514.19999999,3.0,0.0
161,02e854e9f0,5,13567.0,15500.0,5,67835.0,210288500.0,1.0,0.0
162,02ead125bb,1,1612.98,1854.0,1,1612.98,2990464.92,0.0,3.0
163,02f84e1091,961,3216.99,4248.34,15,3091527.3899999997,13666867.2966,3.0,1.0
164,02ffc84169,70,712.5,750.0,1,49875.0,534375.0,0.0,3.0
165,030199a6c2,430,366.75,489.0,1,157702.5,179340.75,0.0,3.0
166,0304f3fb5e,1300,853.1800000000001,940.5400000000001,3,1109134.0,802449.9172000001,0.0,3.0
167,0305adeddd,6,216.05,748.24,1,1296.3000000000002,161657.252,0.0,3.0
168,0308f3156a,3,1292.0,1360.0,1,3876.0,1757120.0,0.0,3.0
169,0309c523df,30,239.44,318.0,1,7183.2,76141.92,0.0,3.0
170,0311c87237,5,116.55,259.0,1,582.75,30186.45,0.0,3.0
171,0315eafd6e,15,2293.3399999999997,2465.0,4,34400.1,5653083.1,0.0,3.0
172,031904ea04,143,1269.65,1925.6000000000001,5,181559.95,2444838.0400000005,0.0,3.0
173,031a8b8ed2,22,1500.3,3334.0,1,33006.6,5002000.2,0.0,3.0
174,031fefe4f4,99,268.81,517.22,1,26612.19,139033.9082,0.0,3.0
175,0320177b26,1802,608.31,1321.38,4,1096174.6199999999,803808.6677999999,0.0,3.0
176,032ebc1adf,52,108.87,129.61,1,5661.24,14110.640700000002,0.0,3.0
177,032f794748,6,995.17,1199.0,1,5971.0199999999995,1193208.8299999998,0.0,3.0
178,03315124b0,1,5319.05,5599.0,1,5319.05,29781360.95,3.0,1.0
179,03367ed9b9,200,706.34,788.64,2,141268.0,557047.9776,0.0,3.0
180,033dc577ba,15,155.73,207.64,1,2335.95,32335.777199999997,0.0,3.0
181,033e834557,1,561.6,780.0,1,561.6,438048.0,0.0,3.0
182,034083b64e,67,86.4,216.0,1,5788.8,18662.4,0.0,3.0
183,034afc2d48,154,693.92,775.0,3,106863.68,537788.0,0.0,3.0
184,034f1b3ee1,132,6153.15,6477.0,3,812215.7999999999,39853952.55,3.0,1.0
185,03586b9c81,100,3752.5,3950.0,1,375250.0,14822375.0,0.0,1.0
186,035e10f923,1724,2796.74,2983.98,6,4821579.76,8345416.225199999,3.0,1.0
187,03658a0dcb,38,228.01,297.45,2,8664.38,67821.57449999999,0.0,3.0
188,0368c9d7dd,28,96.71,215.12,1,2707.8799999999997,20804.2552,0.0,3.0
189,036d32eef1,568,5179.25,9236.43,13,2941814.0,47837780.0775,3.0,1.0
190,0376d546f6,8238,2833.4,3183.77,5,23341549.2,9020893.918,2.0,2.0
191,037c48321c,147,3208.37,3527.31,9,471630.38999999996,11316915.5847,3.0,1.0
192,038f278863,2,122.55,129.0,1,245.1,15808.949999999999,0.0,3.0
193,03974779e0,83,3299.77,3633.0,5,273880.91,11988064.41,0.0,1.0
194,039a58973a,506,399.2,499.0,1,201995.19999999998,199200.8,0.0,3.0
195,03a07c1c86,6,937.55,1255.0,3,5625.299999999999,1176625.25,0.0,3.0
196,03a89dcf06,15,1080.15,1137.0,3,16202.250000000002,1228130.55,0.0,3.0
197,03a951d0fa,17,907.8,990.0,2,15432.599999999999,898722.0,0.0,3.0
198,03a974d2a9,114,3377.22,3726.0,6,385003.07999999996,12583521.719999999,0.0,1.0
199,03b35c1bf3,176,994.1,1285.0,7,174961.6,1277418.5,0.0,3.0
200,03c4192293,65,897.52,1654.83,3,58338.799999999996,1485243.0215999999,0.0,3.0
201,03c91c5017,158,974.74,1619.0,3,154008.92,1578104.06,0.0,3.0
202,03cd0418cb,9,1090.0,1390.0,1,9810.0,1515100.0,0.0,3.0
203,03d71a9c2f,11,227.05,239.0,1,2497.55,54264.950000000004,0.0,3.0
204,03dc21d9b0,1,99.6,120.0,1,99.6,11952.0,0.0,3.0
205,03dd6fc244,1261,591.0,1018.0,2,745251.0,601638.0,0.0,3.0
206,03e09d473a,195,1382.15,1699.0,2,269519.25,2348272.85,0.0,3.0
207,03f33e1904,15,322.75,368.0,2,4841.25,118772.0,0.0,3.0
208,03f8570dab,1,608.0,640.0,1,608.0,389120.0,0.0,3.0
209,03f944c4bb,136,6254.6,10349.37,5,850625.6000000001,64731169.602000006,3.0,1.0
210,03f964250f,223,150.21,448.76,2,33496.83,67408.2396,0.0,3.0
211,0401acf21d,45,1431.01,2805.9,1,64395.45,4015270.9590000003,0.0,3.0
212,0403336807,6496,948.76,1173.99,5,6163144.96,1113834.7524,2.0,1.0
213,0406e77e47,2013,969.3,1077.0,2,1951200.9,1043936.1,0.0,1.0
214,0410023bc8,5620,2258.38,2391.19,4,12692095.600000001,5400215.672200001,2.0,1.0
215,04109ec9f6,6,435.0,500.0,1,2610.0,217500.0,0.0,3.0
216,0412a24c23,2300,791.64,860.48,2,1820772.0,681190.3872,0.0,1.0
217,0413a206fe,1833,1371.25,1650.6,16,2513501.25,2263385.25,3.0,1.0
218,041ac11336,168,57.42,99.0,1,9646.56,5684.58,0.0,3.0
219,041b60c12e,5,89.5,179.0,1,447.5,16020.5,0.0,3.0
220,041cfa8a55,11,227.05,239.0,1,2497.55,54264.950000000004,0.0,3.0
221,0421ad5ced,278,1243.95,1346.83,1,345818.10000000003,1675389.1785,0.0,3.0
222,042d3a0b02,4158,543.22,571.66,1,2258708.7600000002,310537.14519999997,0.0,1.0
223,0436cd06f8,22,857.34,1299.0,1,18861.48,1113684.6600000001,0.0,3.0
224,04395b69a8,345,824.25,1099.0,1,284366.25,905850.75,0.0,3.0
225,043a79c033,20,305.28,430.05,1,6105.599999999999,131285.664,0.0,3.0
226,043ce9ea40,69,665.0,700.0,1,45885.0,465500.0,0.0,3.0
227,043e25df7a,1603,1085.76,1457.0,3,1740473.28,1581952.32,0.0,3.0
228,043ec634da,1,5399.1,5999.0,1,5399.1,32389200.900000002,3.0,1.0
229,044356be0c,354,334.95000000000005,354.22,2,118572.30000000002,118645.98900000003,0.0,3.0
230,0443df34e0,22,395.89,649.0,1,8709.58,256932.61,0.0,3.0
231,04443fa8b1,469,2649.55,2789.0,6,1242638.9500000002,7389594.95,0.0,1.0
232,044bea95cc,15,6205.03,7229.0,3,93075.45,44856161.87,3.0,1.0
233,044c0787cb,24,188.56,224.47,1,4525.4400000000005,42326.0632,0.0,3.0
234,04508b8e10,133,1976.8,3298.0,2,262914.39999999997,6519486.399999999,0.0,3.0
235,04510cf557,236,4355.96,8392.97,6,1028006.56,36559441.6012,3.0,1.0
236,0451bd56fd,82,305.1,678.0,1,25018.2,206857.80000000002,0.0,3.0
237,0452c0dbae,4,1080.0,1200.0,2,4320.0,1296000.0,0.0,3.0
238,045e07090c,35,814.61,940.22,3,28511.350000000002,765912.6142000001,0.0,3.0
239,0470eed69c,98,950.95,1045.0,4,93193.1,993742.75,0.0,3.0
240,04742003c5,1286,637.45,1104.9,5,819760.7000000001,704318.5050000001,0.0,3.0
241,047f178c1d,6600,876.0,1030.7,2,5781600.0,902893.2000000001,2.0,1.0
242,04824f1926,203,3303.23,4467.0,3,670555.6900000001,14755528.41,0.0,1.0
243,0483bc25ca,284,297.0,424.29,1,84348.0,126014.13,0.0,3.0
244,0484abe2c7,193,394.32,1028.46,2,76103.76,405542.3472,0.0,3.0
245,0488a818cf,597,259.26,298.0,1,154778.22,77259.48,0.0,3.0
246,048c39b115,1234,333.0,620.0,3,410922.0,206460.0,0.0,3.0
247,0495b16837,24,344.84,556.2,2,8276.16,191800.008,0.0,3.0
248,0496f644b1,115,2459.58,3182.0,2,282851.7,7826383.56,0.0,3.0
249,04973c39fd,368,2233.24,3178.43,5,821832.32,7098197.013199999,0.0,1.0
250,0498cc0dd4,97,3438.16,4911.66,1,333501.51999999996,16887072.9456,0.0,1.0
251,049c072884,4492,1598.05,4508.15,2,7178440.6,7204249.107499999,0.0,1.0
252,049c5cf22a,5,384.0,480.0,1,1920.0,184320.0,0.0,3.0
253,049e72985a,3,869.83,935.3,1,2609.4900000000002,813551.999,0.0,3.0
254,04a23276f0,124,245.64,288.99,1,30459.359999999997,70987.5036,0.0,3.0
255,04a2d431bb,225,11533.18,12787.0,15,2594965.5,147474772.66,3.0,0.0
256,04a3e21ed1,32,2849.05,2999.0,1,91169.6,8544300.950000001,0.0,3.0
257,04a886e350,599,2448.2400000000002,2720.41,6,1466495.7600000002,6660216.5784,0.0,1.0
258,04af02f210,20,15038.89,19164.4,13,300777.8,288211303.51600003,1.0,0.0
259,04b118a1b1,7,950.0,1000.0,1,6650.0,950000.0,0.0,3.0
260,04ba65cb1c,467,595.99,892.3499999999999,4,278327.33,531831.6765,0.0,3.0
261,04bb1680fe,97,312.0,390.0,1,30264.0,121680.0,0.0,3.0
262,04bd0d12df,15,302.6,356.0,1,4539.0,107725.6,0.0,3.0
263,04be62a290,25,798.03,1698.0,2,19950.75,1355054.94,0.0,3.0
264,04c0eed0fe,120,13545.0,21485.0,5,1625400.0,291014325.0,1.0,0.0
265,04c64a3219,1,6175.0,6500.0,1,6175.0,40137500.0,3.0,1.0
266,04c67f9c7f,4,189.05,199.0,1,756.2,37620.950000000004,0.0,3.0
267,04d2f2170b,50,8286.48,11530.0,6,414324.0,95543114.39999999,3.0,0.0
268,04d9bbc6fa,33,270.75,285.0,1,8934.75,77163.75,0.0,3.0
269,04da02fe42,33,603.25,635.0,1,19907.25,383063.75,0.0,3.0
270,04e8203696,18,301.0,350.0,1,5418.0,105350.0,0.0,3.0
271,04ea882e6c,6,418.0,440.0,1,2508.0,183920.0,0.0,3.0
272,04ec1af355,17,374.25,499.0,1,6362.25,186750.75,0.0,3.0
273,04fdae6101,107,4521.06,6189.96,7,483753.42000000004,27985180.557600003,3.0,1.0
274,04fe4137ac,4507,3763.13,3961.19,16,16960426.91,14906472.924700001,2.0,2.0
275,05007abfe3,31,1800.9099999999999,1895.7,5,55828.20999999999,3413985.087,0.0,3.0
276,05072c92fc,724,10556.4,11112.0,8,7642833.6,117302716.8,3.0,0.0
277,05084655b6,8,1053.57,1211.0,1,8428.56,1275873.27,0.0,3.0
278,0508ffa029,7,8768.5,9230.0,3,61379.5,80933255.0,3.0,1.0
279,050c1a25b0,1292,17782.13,25780.420000000002,16,22974511.96,458430779.89460003,1.0,0.0
280,050e2d3644,8,14192.86,24898.0,2,113542.88,353373828.28000003,1.0,0.0
281,0510e3db82,1829,649.29,1272.01,2,1187551.41,825903.3729,0.0,3.0
282,051159d8c0,5,510.67,729.53,1,2553.35,372549.0851,0.0,3.0
283,05115c9372,44,267.5,334.46,1,11770.0,89468.04999999999,0.0,3.0
284,05159e17b4,238,567.77,868.0,2,135129.26,492824.36,0.0,3.0
285,051733b2a9,40,380.14,458.0,1,15205.599999999999,174104.12,0.0,3.0
286,051804942c,200,328.29,382.16,1,65658.0,125459.30640000002,0.0,3.0
287,05199ba753,85,281.53,507.66999999999996,3,23930.05,142924.33509999997,0.0,3.0
288,051d58ffa9,95,3038.4,5697.0,3,288648.0,17309764.8,0.0,1.0
289,051ef2c36f,2,1025.05,1079.0,1,2050.1,1106028.95,0.0,3.0
290,0529a6b6da,1997,949.05,999.0,1,1895252.8499999999,948100.95,0.0,3.0
291,052b9c3c13,3940,6000.0,9850.0,5,23640000.0,59100000.0,2.0,2.0
292,053cb181c8,7,187.15,197.0,1,1310.05,36868.55,0.0,3.0
293,054204f386,1001,860.47,905.9300000000001,3,861330.47,779525.5871000001,0.0,3.0
294,0545581a67,22,85.47,115.5,1,1880.34,9871.785,0.0,3.0
295,0549470df5,152,1272.3500000000001,1937.85,3,193397.2,2465623.4475000002,0.0,3.0
296,0549894303,1033,1262.46,1814.48,6,1304121.18,2290708.4208,0.0,3.0
297,054c682c52,377,7113.889999999999,11036.539999999999,2,2681936.53,78512731.54059999,3.0,1.0
298,05577d8476,424,10979.130000000001,12395.99,15,4655151.12,136097185.68870002,3.0,0.0
299,055c0a2ad6,10,1495.3,1574.0,2,14953.0,2353602.1999999997,0.0,3.0
300,055d7b961b,107,189.2,314.0,2,20244.399999999998,59408.799999999996,0.0,3.0
301,055fd11669,1,445.55,469.0,1,445.55,208962.95,0.0,3.0
302,0560df50be,4,3511.95,5145.0,2,14047.8,18068982.75,0.0,1.0
303,057010d36a,287,3996.87,10197.0,4,1147101.69,40756083.39,3.0,1.0
304,057a575ef7,109,716.25,955.0,2,78071.25,684018.75,0.0,3.0
305,057cfecf76,160,226.8,280.0,1,36288.0,63504.0,0.0,3.0
306,058174cb43,47,497.17,599.0,1,23366.99,297804.83,0.0,3.0
307,0583a11ef5,219,736.08,866.09,1,161201.52000000002,637511.5272,0.0,3.0
308,0584b13fb1,77,1064.9,1147.0,3,81997.3,1221440.3,0.0,3.0
309,0585c903d1,801,541.37,1466.0,4,433637.37,793648.42,0.0,3.0
310,058bb61bc8,2,558.6,798.0,1,1117.2,445762.80000000005,0.0,3.0
311,058c5fb4bf,1335,65.47,314.26,1,87402.45,20574.602199999998,0.0,3.0
312,05949e3787,746,148.0,400.0,1,110408.0,59200.0,0.0,3.0
313,05952670b9,5,188.1,209.0,1,940.5,39312.9,0.0,3.0
314,059ee74d19,266,6383.67,9752.6,13,1698056.22,62257380.042,3.0,0.0
315,05a5b2e182,200,268.43,282.65,1,53686.0,75871.7395,0.0,3.0
316,05a6298372,14,864.97,995.35,3,12109.58,860947.8895,0.0,3.0
317,05b138d1e1,1126,324.33000000000004,348.0,2,365195.5800000001,112866.84000000001,0.0,3.0
318,05b5296020,189,878.4,1098.0,2,166017.6,964483.2,0.0,3.0
319,05b78ab87c,50,99.0,110.0,1,4950.0,10890.0,0.0,3.0
320,05bd84bf20,610,778.17,1496.48,1,474683.69999999995,1164515.8416,0.0,3.0
321,05bfb71bd1,9,90.3,129.0,1,812.6999999999999,11648.699999999999,0.0,3.0
322,05c09b1700,16,88.2,147.0,1,1411.2,12965.4,0.0,3.0
323,05c61f44af,262,602.81,1497.0,3,157936.21999999997,902406.57,0.0,3.0
324,05d1281c9b,2,4929.15,5799.0,1,9858.3,28584140.849999998,0.0,1.0
