,seller_nickname,stock,price,Products,total_amount,Kmeans,AgC
398,026d24d52b,11,7893.0,7,86823.0,0,3
399,026eeff979,2,6300.0,2,12600.0,0,3
400,02720e6a30,427,48520.88,4,20718415.759999998,1,0
401,0272727134,150,500.73,4,75109.5,0,3
402,02741e078b,4,2800.0,1,11200.0,0,3
403,0274b89a78,1,850.0,1,850.0,0,3
404,02755eb1f0,66,8505.6,11,561369.6,1,0
405,0276acfdb5,33,582.5,1,19222.5,0,3
406,0277575167,11,135.0,1,1485.0,0,3
407,0277e373d0,6,3520.0,7,21120.0,0,3
408,027b17d18d,7,348.0,2,2436.0,0,3
409,027e0d08a9,1,700.0,1,700.0,0,3
410,027ff02a64,14,298.0,1,4172.0,0,3
411,028024eb35,11,409.65999999999997,2,4506.259999999999,0,3
412,028039478e,4725,6947.6,16,32827410.0,5,1
413,028064d12b,5,645.99,1,3229.95,0,3
414,028197d223,22797,698.0,2,15912306.0,3,4
415,02831bb535,11,605.15,1,6656.65,0,3
416,02832e598d,10,880.0,1,8800.0,0,3
417,0285d6cc62,95,4666.96,2,443361.2,0,3
418,028c64b350,3,459.0,1,1377.0,0,3
419,028cc78982,2,1400.0,1,2800.0,0,3
420,0291cfc331,4,657.0,3,2628.0,0,3
421,0295507165,24,1330.0,2,31920.0,0,3
422,0296bc7db7,2,2000.0,1,4000.0,0,3
423,02983363c2,200,468.77,1,93754.0,0,3
424,0299a0bd59,149,9205.0,24,1371545.0,1,0
425,029a2f2b5c,4,448.0,2,1792.0,0,3
426,029cdaa0b2,264,542.47,1,143212.08000000002,0,3
427,029efe1228,1827,517.59,3,945636.93,0,3
428,02a01b0018,4,211.0,1,844.0,0,3
429,02a16280dc,86,399.0,1,34314.0,0,3
430,02a1ee9616,15,528.8199999999999,2,7932.299999999999,0,3
431,02a684e22b,427,12508.39,18,5341082.529999999,1,0
432,02a8b206b7,1,799.0,1,799.0,0,3
433,02a8dc8141,28,425.61,2,11917.08,0,3
434,02a960a0a2,1,507.0,1,507.0,0,3
435,02ab594af9,6,2067.23,1,12403.380000000001,0,3
436,02abb65438,1,220.0,1,220.0,0,3
437,02ad217f9a,20,488.24,1,9764.8,0,3
438,02ae0f7eda,9,10540.0,9,94860.0,1,0
439,02aed7c6c9,323,10076.2,14,3254612.6,1,0
440,02affa9647,8,2090.0,2,16720.0,0,3
441,02b0c056f8,151,1776.2,4,268206.2,0,3
442,02b15f5fd9,6,770.5,2,4623.0,0,3
443,02b1c58fc9,23,14324.3,6,329458.89999999997,0,3
444,02b2853470,1,14300.0,1,14300.0,0,3
445,02b2aeb7c6,64,6719.25,9,430032.0,1,0
446,02b2f208f6,4,335.4,1,1341.6,0,3
447,02b3b29a4b,1,2800.0,1,2800.0,0,3
448,02b4e558bf,10,3549.0,1,35490.0,0,3
449,02b55e0bbd,296,339.15999999999997,3,100391.35999999999,0,3
450,02b6fcd7eb,370,39493.0,63,14612410.0,5,1
451,02b706fb92,1,34999.0,1,34999.0,0,3
452,02b9c23caa,1,13000.0,1,13000.0,0,3
453,02bb38ffbf,0,1850.0,1,0.0,0,3
454,02bc39a24e,134,1720.48,16,230544.32,1,0
455,02bdf306e9,7,5510.59,3,38574.130000000005,0,3
456,02bf3caa84,499,286.2,1,142813.8,0,3
457,02bfd20c2e,9,603.0,2,5427.0,0,3
458,02c1774cbd,1,1250.0,1,1250.0,0,3
459,02c3cca98e,5,719.0,1,3595.0,0,3
460,02c401db41,9,89.55,1,805.9499999999999,0,3
461,02c4b67e4a,1,475.0,1,475.0,0,3
462,02c539834b,96,607.95,2,58363.200000000004,0,3
463,02c8fe43ba,3,1630.0,3,4890.0,0,3
464,02ca45cf6e,29,21295.0,5,617555.0,0,3
465,02cb59b869,1,1299.0,1,1299.0,0,3
466,02cb759a69,180,869.0,1,156420.0,0,3
467,02cc23fa88,97,825.0,1,80025.0,0,3
468,02cd9f35a9,15,7840.0,5,117600.0,0,3
469,02cfca7cd8,1,3999.2,1,3999.2,0,3
470,02d1eba49e,85,7008.0,2,595680.0,0,3
471,02d31b62e8,1,1000.0,1,1000.0,0,3
472,02d4777989,1670,558.95,5,933446.5000000001,0,3
473,02d51c5c6c,3,450.0,2,1350.0,0,3
474,02d608454f,140,239.0,2,33460.0,0,3
475,02d6c57df6,1,499.9,1,499.9,0,3
476,02d74fcbf9,15,10726.3,9,160894.5,1,0
477,02d9baef9e,4,790.0,1,3160.0,0,3
478,02d9ccf37a,2,4800.0,2,9600.0,0,3
479,02db3ca90d,118,182727.0,23,21561786.0,5,1
480,02db8576b3,1,799.0,1,799.0,0,3
481,02dbc0cf76,9,799.0,1,7191.0,0,3
482,02dd93a97d,3,112.5,1,337.5,0,3
483,02de6dae5c,1,300.0,1,300.0,0,3
484,02e16a0096,9,1790.0,1,16110.0,0,3
485,02e328f35d,2,620.0,1,1240.0,0,3
486,02e4512b1b,12,13548.0,8,162576.0,0,3
487,02e854e9f0,5,13567.0,5,67835.0,0,3
488,02e8fd5c14,0,1057.0,1,0.0,0,3
489,02e9ccc2c5,71,6753.0,5,479463.0,0,3
490,02ead125bb,1,1612.98,1,1612.98,0,3
491,02ec8bd245,2,5055.0,2,10110.0,0,3
492,02f06e0991,1,329.0,1,329.0,0,3
493,02f5df062c,4,5500.0,4,22000.0,0,3
494,02f712aa98,1,450.0,1,450.0,0,3
495,02f84e1091,961,3216.99,15,3091527.3899999997,1,0
496,02f8cac607,2,549.0,1,1098.0,0,3
497,02ffc84169,84,10400.5,4,873642.0,0,3
498,030199a6c2,430,366.75,1,157702.5,0,3
499,0304f3fb5e,1300,853.1800000000001,3,1109134.0,0,3
500,0305adeddd,6,216.05,1,1296.3000000000002,0,3
501,0308f3156a,7,20541.0,3,143787.0,0,3
502,03095e9e28,21,458.0,2,9618.0,0,3
503,030966f224,9,2250.0,1,20250.0,0,3
504,0309c523df,41,426.5,2,17486.5,0,3
505,0311c87237,5,116.55,1,582.75,0,3
506,0314212115,2,5990.0,2,11980.0,0,3
507,031479e0b4,2,2850.0,1,5700.0,0,3
508,0315eafd6e,22,2712.3399999999997,5,59671.479999999996,0,3
509,0317ea84af,373,1058.0,2,394634.0,0,3
510,031904ea04,150,1349.6,6,202440.0,0,3
511,031a8b8ed2,22,1500.3,1,33006.6,0,3
512,031ec0e57e,1,2499.0,1,2499.0,0,3
513,031fefe4f4,99,268.81,1,26612.19,0,3
514,0320177b26,1802,608.31,4,1096174.6199999999,0,3
515,03249ca708,4,100.0,1,400.0,0,3
516,0325405eac,4,2700.0,2,10800.0,0,3
517,0327c37c96,9,943.0,3,8487.0,0,3
518,032a90e41c,1,12000.0,1,12000.0,0,3
519,032ac960ed,2,6450.0,2,12900.0,0,3
520,032d1129a8,1,4000.0,1,4000.0,0,3
521,032ebc1adf,52,108.87,1,5661.24,0,3
522,032f794748,720,4207.17,5,3029162.4,0,3
523,03315124b0,1,5319.05,1,5319.05,0,3
524,033389ff7c,1,199.0,1,199.0,0,3
525,0335da3125,10,211.0,1,2110.0,0,3
526,03367ed9b9,200,706.34,2,141268.0,0,3
527,033dc577ba,17,4931.73,3,83839.40999999999,0,3
528,033e5901d9,1,990.0,1,990.0,0,3
529,033e834557,1,561.6,1,561.6,0,3
530,034083b64e,67,86.4,1,5788.8,0,3
531,0341ed2fe6,5,1048.0,2,5240.0,0,3
532,0346be0ef6,24,1516.0,5,36384.0,0,3
533,0346c6e9b6,565,6921.0,10,3910365.0,1,0
534,0347f756c5,27,1041.0,4,28107.0,0,3
535,0349dd5508,500,1001.15,1,500575.0,0,3
536,034a5636a4,60,1228.42,2,73705.20000000001,0,3
537,034ac2ce0b,4,10558.0,3,42232.0,0,3
538,034afc2d48,154,693.92,3,106863.68,0,3
539,034f1b3ee1,132,6153.15,3,812215.7999999999,0,3
540,0351e56eab,1,1400.0,1,1400.0,0,3
541,0351eb9f0f,1,550.0,1,550.0,0,3
542,03567fbed3,1140,1724.0,6,1965360.0,0,3
543,0357a46d1a,8,450.0,1,3600.0,0,3
544,03586b9c81,100,3752.5,1,375250.0,0,3
545,035a578163,1,9500.0,1,9500.0,0,3
546,035b967eb0,18,550.0,1,9900.0,0,3
547,035d80eefd,472,2747.0,8,1296584.0,1,3
548,035e10f923,1724,2796.74,6,4821579.76,1,3
549,035e63b3e3,1,6000.0,1,6000.0,0,3
550,035eebe4d8,3,1777.07,1,5331.21,0,3
551,035facdfe1,1,499.0,1,499.0,0,3
552,0360b17011,10,219.0,1,2190.0,0,3
553,036347a1ba,18,1800.0,1,32400.0,0,3
554,03658a0dcb,137,367.01,3,50280.369999999995,0,3
555,0368c9d7dd,28,96.71,1,2707.8799999999997,0,3
556,036af5e14c,285,4654.0,5,1326390.0,0,3
557,036d32eef1,568,5179.25,13,2941814.0,1,0
558,036fa4536e,7,975.0,1,6825.0,0,3
559,0370892c2a,306,5044.0,6,1543464.0,0,3
560,03726f93ed,5,38995.0,5,194975.0,0,3
561,0375e4c003,1,2000.0,1,2000.0,0,3
562,0376d546f6,8238,2833.4,5,23341549.2,3,1
563,0378002958,1,296.0,1,296.0,0,3
564,037920d565,242,1250.0,2,302500.0,0,3
565,03798c3c29,208,13606.73,15,2830199.84,1,0
566,037a2268bb,1,4000.0,1,4000.0,0,3
567,037affed63,100,574.0,1,57400.0,0,3
568,037c48321c,172,5622.37,13,967047.64,1,0
569,037dcbe5f9,1,1450.0,1,1450.0,0,3
570,037f44ba06,900,824.75,1,742275.0,0,3
571,03864a96bd,3,851.0,2,2553.0,0,3
572,03870b9bb7,19,1436.0,3,27284.0,0,3
573,038b29cacf,133,861.79,1,114618.06999999999,0,3
574,038f278863,2,122.55,1,245.1,0,3
575,0391a25600,10,659.0,1,6590.0,0,3
576,0392ce84ac,1,11000.0,1,11000.0,0,3
577,0396813062,3,244.0,1,732.0,0,3
578,03974779e0,229,10618.77,14,2431698.33,1,0
579,039a193ba7,5,1065.0,5,5325.0,0,3
580,039a58973a,506,399.2,1,201995.19999999998,0,3
581,039ee97a7a,120,489.0,1,58680.0,0,3
582,03a07c1c86,6,937.55,3,5625.299999999999,0,3
583,03a31a78b7,8,1700.0,1,13600.0,0,3
584,03a3cfc612,1,30000.0,1,30000.0,0,3
585,03a52504cd,137,467.65,1,64068.049999999996,0,3
586,03a74ee63b,58,1450.0,1,84100.0,0,3
587,03a802a44f,1,1000.0,1,1000.0,0,3
588,03a89dcf06,18,1508.15,6,27146.7,0,3
589,03a951d0fa,20,2527.8,4,50556.0,0,3
590,03a974d2a9,267,4044.22,9,1079806.74,1,0
591,03ab254618,1998,361.4,1,722077.2,0,3
592,03ad619685,3,2947.0,3,8841.0,0,3
593,03ad81fae0,101,478.0,2,48278.0,0,3
594,03adba56dd,10,299.0,1,2990.0,0,3
595,03ae4c4d9e,166,49981.0,18,8296846.0,1,0
596,03b08059ed,4,1852.0,2,7408.0,0,3
597,03b2457b2c,9,4000.0,1,36000.0,0,3
598,03b35c1bf3,176,994.1,7,174961.6,0,3
599,03b434f900,12,1978.0,2,23736.0,0,3
600,03b5a78031,10,1730.0,2,17300.0,0,3
601,03c0e7b9d7,0,799.0,1,0.0,0,3
602,03c106cc9f,150,2302.0,8,345300.0,0,3
603,03c119e209,15,1880.0,6,28200.0,0,3
604,03c1883a89,913,529.0,2,482977.0,0,3
605,03c4192293,65,897.52,3,58338.799999999996,0,3
606,03c8857553,9,66.0,1,594.0,0,3
607,03c91c5017,158,974.74,3,154008.92,0,3
608,03c9d0f759,91,1499.0,1,136409.0,0,3
609,03cb625246,2,294.0,1,588.0,0,3
610,03cd0418cb,27,11370.0,3,306990.0,0,3
611,03ce92a8e2,6,490.0,1,2940.0,0,3
612,03d04e7895,236,2069.0,3,488284.0,0,3
